,Foreign_table,Foreign_key,Primary_table,Primary_key,F1,F2,F3,F4,F5,F6,F8,F9,F10
0,actors,a_gender,users,u_gender,2.02654777586e-05,1.0,0.2,0.2,0.2,0,0,0,0.0611916100922079
1,movies2directors,directorid,directors,directorid,0.5315141270224583,0.935,0.2,0.2,0.2,0,1,1,0.5315141270224583
2,movies,movieid,movies2directors,movieid,1.0,0.996,1.0,1.0,1.0,1,1,1,1.0806367432150312
3,movies2actors,movieid,movies2directors,movieid,0.0274523126296539,0.983,0.8,0.8,1.0,0,1,1,0.0299315499208523
4,movies2actors,actorid,movies2directors,movieid,0.6121909084995193,0.864,0.8,0.8,1.0,0,0,1,0.0299315499208523
5,u2base,movieid,movies2directors,movieid,0.0036751161210208,0.962,1.0,1.0,1.0,0,1,1,0.0041569669099009
6,actors,actorid,movies2directors,movieid,1.0,0.865,1.0,1.0,1.0,0,0,1,0.0419596716992603
7,directors,directorid,movies2directors,directorid,1.0,0.935,0.2,0.2,0.2,1,1,1,1.8814175374829625
8,movies2actors,actorid,movies,movieid,0.6121909084995193,0.864,0.8,0.8,1.0,0,0,1,0.0276980679296561
9,actors,actorid,movies,movieid,1.0,0.865,1.0,1.0,1.0,0,0,1,0.0388286553855507
10,movies2directors,movieid,movies,movieid,0.9210335667713112,0.996,1.0,1.0,1.0,0,1,1,0.92538034291234
11,movies2actors,movieid,movies,movieid,0.0274523126296539,0.985,0.8,0.8,1.0,0,1,1,0.0276980679296561
12,u2base,movieid,movies,movieid,0.0036751161210208,0.96,1.0,1.0,1.0,0,1,1,0.0038467754645593
13,movies,movieid,u2base,movieid,1.0,0.96,1.0,1.0,1.0,0,1,1,259.95798538622125
14,actors,actorid,u2base,movieid,1.0,0.849,1.0,1.0,1.0,0,0,1,10.093819029283615
15,movies2actors,movieid,u2base,movieid,0.0274523126296539,0.947,0.8,0.8,1.0,0,1,1,7.200333938084121
16,movies2directors,movieid,u2base,movieid,0.9210335667713112,0.962,1.0,1.0,1.0,0,1,1,240.56000965950253
17,movies2actors,actorid,u2base,movieid,0.6121909084995193,0.849,0.8,0.8,1.0,0,0,1,7.200333938084121
18,movies,movieid,actors,actorid,1.0,0.865,1.0,1.0,1.0,0,0,1,25.75417536534447
19,movies2directors,movieid,actors,actorid,0.9210335667713112,0.865,1.0,1.0,1.0,0,0,1,23.832407631007005
20,u2base,movieid,actors,actorid,0.0036751161210208,0.849,1.0,1.0,1.0,0,0,1,0.0990705299053665
21,movies2actors,movieid,actors,actorid,0.0274523126296539,0.868,0.8,0.8,1.0,0,0,1,0.7133408987415883
22,movies2actors,actorid,actors,actorid,0.6121909084995193,0.986,0.8,0.8,1.0,0,1,1,0.7133408987415883
23,users,u_gender,actors,a_gender,0.0003311806590495,1.0,0.2,0.2,0.2,0,0,0,16.342109620798144
24,movies2directors,movieid,movies2actors,movieid,0.9210335667713112,0.983,1.0,1.0,0.8,0,1,1,33.409562907510264
25,actors,actorid,movies2actors,actorid,1.0,0.986,1.0,1.0,0.8,1,1,1,1.4018542912149152
26,movies,movieid,movies2actors,movieid,1.0,0.985,1.0,1.0,0.8,1,1,1,36.1036012526096
27,u2base,movieid,movies2actors,movieid,0.0036751161210208,0.947,1.0,1.0,0.8,0,1,1,0.1388824474807736
28,actors,actorid,movies2actors,movieid,1.0,0.868,1.0,1.0,0.8,1,0,1,1.4018542912149152
29,movies,movieid,movies2actors,actorid,1.0,0.864,1.0,1.0,0.8,1,0,1,36.1036012526096
30,movies2directors,movieid,movies2actors,actorid,0.9210335667713112,0.864,1.0,1.0,0.8,0,0,1,33.409562907510264
31,u2base,movieid,movies2actors,actorid,0.0036751161210208,0.849,1.0,1.0,0.8,0,0,1,0.1388824474807736
