,Foreign_table,Foreign_key,Primary_table,Primary_key,F1,F2,F3,F4,F5,F6,F8,F9,F10
0,mailings3,REFID,Sales,EVENTID,1.0,0.997,0.0,0.42857142857142855,1.0,0,0,1,11.402763333333333
1,mailings3,REFID,Sales,REFID,1.0,0.999,0.0,0.42857142857142855,0.8888888888888888,0,0,1,11.402763333333333
2,mailings3,REFID,Customers,ID,1.0,0.999,0.0,0.42857142857142855,0.8888888888888888,0,0,1,1.2
3,Mailings1_2,KxIndex,Sales,EVENTID,1.0,0.973,0.125,0.42857142857142855,1.0,0,0,0,57.01381666666666
4,Mailings1_2,KxIndex,Sales,REFID,1.0,0.982,0.125,0.42857142857142855,0.8888888888888888,0,0,0,57.01381666666666
5,Mailings1_2,KxIndex,Customers,ID,1.0,0.982,0.125,0.42857142857142855,0.8888888888888888,0,0,0,6.0
6,Demog,A_VAR13,Customers,DATA2,0.975,0.998,0.0,0.14285714285714285,0.2222222222222222,0,0,0,1800.0
7,Demog,A_VAR9,Customers,DATA2,0.96,0.998,0.0,0.14285714285714285,0.2222222222222222,0,0,0,1800.0
8,Customers,GEOID,Sales,EVENTID,0.0003472222222222,0.99,0.25,0.7142857142857143,1.0,0,0,1,9.502302777777777
9,Customers,GEOID,Sales,REFID,0.0003472222222222,0.989,0.25,0.7142857142857143,0.8888888888888888,0,0,1,9.502302777777777
10,Customers,GEOID,Mailings1_2,REFID,0.0003472222222222,0.987,0.25,0.7142857142857143,0.4444444444444444,0,0,1,0.1666666666666666
11,Customers,GEOID,Demog,GEOID,0.0003472222222222,0.999,0.25,0.7142857142857143,0.3333333333333333,0,0,1,0.0005555555555555
12,Customers,GEOID,Customers,ID,0.0003472222222222,0.0,0.25,0.7142857142857143,0.8888888888888888,1,0,1,1.0
13,mailings3,RESPONSE,Mailings1_2,RESPONSE,6.6666666666e-06,0.0,0.125,0.14285714285714285,0.1111111111111111,0,1,0,0.2
14,Demog,GEOID,Sales,EVENTID,1.0,0.988,0.375,0.5714285714285714,1.0,0,0,1,17104.145
15,Demog,GEOID,Sales,REFID,1.0,0.989,0.375,0.5714285714285714,0.8888888888888888,0,0,1,17104.145
16,Demog,GEOID,Mailings1_2,REFID,1.0,0.99,0.375,0.5714285714285714,0.4444444444444444,0,0,1,300.0
17,Demog,GEOID,Customers,ID,1.0,0.989,0.375,0.5714285714285714,0.8888888888888888,0,0,1,1800.0
18,Mailings1_2,RESPONSE,mailings3,RESPONSE,3.33333333333e-05,0.0,0.125,0.14285714285714285,0.1111111111111111,0,1,0,5.0
19,Customers,ID,Sales,EVENTID,1.0,0.996,1.0,0.2857142857142857,1.0,0,0,1,9.502302777777777
20,Customers,ID,Sales,REFID,1.0,1.0,1.0,0.2857142857142857,0.8888888888888888,0,1,1,9.502302777777777
21,Sales,REFID,Sales,EVENTID,0.1052376485349019,0.0,1.0,0.2857142857142857,1.0,1,0,1,1.0
22,Sales,REFID,Customers,ID,0.1052376485349019,1.0,1.0,0.2857142857142857,0.8888888888888888,0,1,1,0.1052376485349019
23,Mailings1_2,REFID,Sales,EVENTID,1.0,0.973,0.5,0.42857142857142855,1.0,0,0,1,57.01381666666666
24,Mailings1_2,REFID,Sales,REFID,1.0,0.982,0.5,0.42857142857142855,0.8888888888888888,0,0,1,57.01381666666666
25,Mailings1_2,REFID,Customers,ID,1.0,0.982,0.5,0.42857142857142855,0.8888888888888888,0,0,1,6.0
26,Customers,EDUCATIONNUM,Sales,EVENTID,4.72222222222e-05,0.98,0.0,0.8571428571428571,1.0,0,0,1,9.502302777777777
27,Customers,EDUCATIONNUM,Sales,REFID,4.72222222222e-05,0.99,0.0,0.8571428571428571,0.8888888888888888,0,0,1,9.502302777777777
28,Customers,EDUCATIONNUM,Mailings1_2,REFID,4.72222222222e-05,0.987,0.0,0.8571428571428571,0.4444444444444444,0,0,1,0.1666666666666666
29,Customers,EDUCATIONNUM,Demog,GEOID,4.72222222222e-05,0.992,0.0,0.8571428571428571,0.3333333333333333,0,0,1,0.0005555555555555
30,Customers,EDUCATIONNUM,Customers,ID,4.72222222222e-05,0.0,0.0,0.8571428571428571,0.8888888888888888,1,0,1,1.0
31,Customers,EDUCATIONNUM,Customers,GEOID,4.72222222222e-05,0.0,0.0,0.8571428571428571,0.2222222222222222,1,0,1,1.0
32,Customers,age,Sales,EVENTID,0.0001916666666666,0.988,0.0,1.0,1.0,0,0,0,9.502302777777777
33,Customers,age,Sales,REFID,0.0001916666666666,0.99,0.0,1.0,0.8888888888888888,0,0,0,9.502302777777777
34,Customers,age,Mailings1_2,REFID,0.0001916666666666,0.984,0.0,1.0,0.4444444444444444,0,0,0,0.1666666666666666
35,Customers,age,Mailings1_2,KxIndex,0.0001916666666666,0.984,0.0,1.0,0.1111111111111111,0,0,0,0.1666666666666666
36,Customers,age,Demog,GEOID,0.0001916666666666,0.998,0.0,1.0,0.3333333333333333,0,0,0,0.0005555555555555
37,Customers,age,Customers,ID,0.0001916666666666,0.0,0.0,1.0,0.8888888888888888,1,0,0,1.0
38,Customers,age,Customers,GEOID,0.0001916666666666,0.0,0.0,1.0,0.2222222222222222,1,0,0,1.0
39,Customers,NOM2,Customers,NOM1,5.27777777777e-05,0.0,0.0,0.2857142857142857,0.1111111111111111,1,0,0,1.0
40,Customers,NOM2,Customers,NOM3,5.27777777777e-05,0.0,0.0,0.2857142857142857,0.1111111111111111,1,0,0,1.0
