,F1,F2,F3,F4,F5,F6,F8,F9,F10,Has_pk_fk_relation
0,1.0,0.991,0.75,0.75,1.0,0.539,0,1,175.72993108586329,0
1,1.0,0.991,0.5,0.5,1.0,0.539,0,1,175.72993108586329,0
2,1.0,0.991,0.5,0.5,1.0,0.0,0,1,175.72993108586329,0
3,1.0,0.0,0.75,0.75,1.0,1.0,1,1,209.6653333333333,0
4,1.0,0.0,0.25,0.25,0.5,0.0,1,0,7.254484304932735,0
5,1.0,0.0,0.25,0.25,0.5,0.0,1,0,9.488269794721408,0
6,0.8381449059415161,0.961,0.5,0.5,0.5,1.0,0,1,1.2052523747439,0
7,1.0,0.965,0.75,0.75,0.5,1.0,0,1,1.438,0
8,0.6818111574717972,0.0,0.5,0.5,0.25,0.0,0,1,0.105393293154072,0
9,1.0,1.0,0.5,0.5,0.75,0.0,1,1,1.0,0
10,0.6883116883116883,0.977,0.5,0.5,0.5,0.0,0,1,69.72727272727273,0
11,1.0,1.0,0.5,0.5,0.75,1.0,1,1,1.0,1
12,0.0047695056884304,0.991,1.0,1.0,0.75,0.539,1,1,0.005690550231374,0
13,0.0171111111111111,0.0,0.5,0.5,0.5,1.0,1,1,1.1931111111111112,0
14,0.5807448616906196,0.965,0.5,0.5,0.75,1.0,1,1,0.6954102920723226,1
15,0.014341590612777,0.0,0.5,0.5,0.5,1.0,1,1,0.8381449059415161,0
16,0.8381449059415161,0.0,0.5,0.5,0.75,1.0,1,1,0.8381449059415161,1
17,0.0047695056884304,0.0,1.0,1.0,0.75,1.0,1,1,0.0047695056884304,1
18,0.6883116883116883,0.957,0.5,0.5,0.5,0.0,0,1,58.44155844155844,0
19,0.6818111574717972,0.0,0.5,0.5,0.25,0.0,0,1,0.1378457734507804,0
20,0.014341590612777,0.977,0.5,0.5,0.5,0.0,1,0,0.014341590612777,0
21,0.0171111111111111,0.957,0.5,0.5,0.5,0.0,1,0,0.0171111111111111,0
22,0.0047695056884304,0.991,1.0,1.0,0.5,0.539,1,1,0.005690550231374,0
23,1.0,1.0,0.75,0.75,0.5,1.0,1,1,1.0,0
24,0.0047695056884304,0.991,1.0,1.0,0.5,0.0,1,1,0.005690550231374,0
25,1.0,1.0,0.75,0.75,0.5,0.0,0,1,1.0,0
26,1.0,0.0,0.75,0.75,0.5,1.0,1,1,1.1931111111111112,0
27,0.5807448616906196,0.961,0.5,0.5,0.5,1.0,1,1,0.8297017462525113,0
