,Foreign_table,Foreign_key,Primary_table,Primary_key,F1,F2,F3,F4,F5,F6,F8,F9,F10
0,districts,A9,trans,account_id,0.1428571428571428,0.996,0.0,1.0,0.07692307692307693,0,0,0,1699.9610389610389
1,districts,A9,tkeys,id,0.1428571428571428,0.994,0.0,1.0,1.0,0,0,0,3.038961038961039
2,districts,A9,orders,amount,0.1428571428571428,0.979,0.0,1.0,0.07692307692307693,0,0,0,84.03896103896102
3,districts,A9,districts,id,0.1428571428571428,0.0,0.0,1.0,0.3076923076923077,1,0,0,1.0
4,districts,A9,districts,A7,0.1428571428571428,0.0,0.0,1.0,0.3076923076923077,1,0,0,1.0
5,districts,A9,disps,id,0.1428571428571428,0.976,0.0,1.0,0.23076923076923078,0,0,0,69.72727272727273
6,districts,A9,disps,client_id,0.1428571428571428,0.975,0.0,1.0,0.23076923076923078,0,0,0,69.72727272727273
7,districts,A9,disps,account_id,0.1428571428571428,0.972,0.0,1.0,0.38461538461538464,0,0,0,69.72727272727273
8,districts,A9,clients,id,0.1428571428571428,0.975,0.0,1.0,0.23076923076923078,0,0,0,69.72727272727273
9,districts,A9,clients,district_id,0.1428571428571428,0.997,0.0,1.0,0.3076923076923077,0,0,0,69.72727272727273
10,districts,A9,clients,tkey_id,0.1428571428571428,0.0,0.0,1.0,0.5384615384615384,0,0,0,69.72727272727273
11,districts,A9,accounts,id,0.1428571428571428,0.972,0.0,1.0,0.38461538461538464,0,0,0,58.44155844155844
12,districts,A9,accounts,district_id,0.1428571428571428,0.997,0.0,1.0,0.3076923076923077,0,0,0,58.44155844155844
13,districts,id,tkeys,id,1.0,0.999,0.8,0.3076923076923077,1.0,0,0,1,3.038961038961039
14,districts,id,clients,district_id,1.0,1.0,0.8,0.3076923076923077,0.3076923076923077,0,1,1,69.72727272727273
15,districts,id,clients,tkey_id,1.0,0.0,0.8,0.3076923076923077,0.5384615384615384,0,0,1,69.72727272727273
16,districts,id,accounts,district_id,1.0,1.0,0.8,0.3076923076923077,0.3076923076923077,0,1,1,58.44155844155844
17,cards,disp_id,disps,id,1.0,1.0,0.0,0.07692307692307693,0.23076923076923078,0,0,1,6.0190582959641254
18,clients,district_id,tkeys,id,0.014341590612777,0.999,0.8,0.3076923076923077,1.0,0,0,1,0.0435835351089588
