,Foreign_table,Foreign_key,Primary_table,Primary_key,F1,F2,F3,F4,F5,F6,F8,F9,F10
0,acc,account_id,Loan_Acc,account_id,1.0,1.0,0.25,0.25,0.25,1,1,1,1.0
1,loan,loan_id,Loan_Trans,loan_id,1.0,1.0,0.75,0.75,0.75,1,1,1,195.63080684596576
2,loan,loan_id,Loan_Order,loan_id,1.0,1.0,0.75,0.75,0.75,1,1,1,2.1858190709046452
3,loan,loan_id,Loan_Acc,loan_id,1.0,1.0,0.75,0.75,0.75,1,1,1,1.0
4,order,amount3,loan,amount,0.0007726781023025,1.0,1.0,0.5,1.0,0,1,0,0.0632050687683511
5,order,amount3,loan,payments,0.0007726781023025,0.999,1.0,0.5,1.0,0,1,0,0.0632050687683511
6,trans,balance,loan,amount,2.91277689585e-05,0.999,0.25,1.0,1.0,0,0,0,0.0029783143760103
7,trans,balance,loan,payments,2.91277689585e-05,0.999,0.25,1.0,1.0,0,0,0,0.0029783143760103
8,trans,balance,trans,amount2,2.91277689585e-05,0.0,0.25,1.0,0.25,1,0,0,1.0
9,trans,balance,order,amount3,2.91277689585e-05,1.0,0.25,1.0,1.0,0,0,0,0.0471214482326726
10,trans,amount2,loan,amount,2.91277689585e-05,0.998,0.25,1.0,1.0,0,0,0,0.0029783143760103
11,trans,amount2,loan,payments,2.91277689585e-05,0.997,0.25,1.0,1.0,0,0,0,0.0029783143760103
12,trans,amount2,trans,balance,2.91277689585e-05,0.0,0.25,1.0,0.25,1,0,0,1.0
13,trans,amount2,order,amount3,2.91277689585e-05,0.999,0.25,1.0,1.0,0,0,0,0.0471214482326726
14,loan,amount,loan,payments,0.0122249388753056,0.0,1.0,0.5,1.0,1,0,0,1.0
15,loan,amount,order,amount3,0.0122249388753056,1.0,1.0,0.5,1.0,0,1,0,15.821515892420535
16,loan,payments,loan,amount,0.0122249388753056,0.0,1.0,0.5,1.0,1,0,0,1.0
17,loan,payments,order,amount3,0.0122249388753056,0.999,1.0,0.5,1.0,0,1,0,15.821515892420535
18,Loan_Trans,transaction_id,trans,transaction_id,1.0,1.0,0.0,0.25,0.25,0,0,1,1.716296101883444
19,Loan_Trans,loan_id,loan,loan_id,0.00511166935373,1.0,0.75,0.75,0.75,0,1,1,0.00511166935373
20,Loan_Trans,loan_id,Loan_Order,loan_id,0.00511166935373,1.0,0.75,0.75,0.75,0,1,1,0.0111731843575418
21,Loan_Trans,loan_id,Loan_Acc,loan_id,0.00511166935373,1.0,0.75,0.75,0.75,0,1,1,0.00511166935373
22,Loan_Order,loan_id,loan,loan_id,0.4574944071588366,1.0,0.75,0.75,0.75,0,1,1,0.4574944071588366
23,Loan_Order,loan_id,Loan_Trans,loan_id,0.4574944071588366,1.0,0.75,0.75,0.75,0,1,1,89.5
24,Loan_Order,loan_id,Loan_Acc,loan_id,0.4574944071588366,1.0,0.75,0.75,0.75,0,1,1,0.4574944071588366
25,Loan_Order,order_id,order,order_id,1.0,0.998,0.0,0.25,0.25,0,0,1,7.238255033557048
26,Loan_Acc,loan_id,loan,loan_id,1.0,1.0,0.75,0.75,0.75,0,1,1,1.0
27,Loan_Acc,loan_id,Loan_Trans,loan_id,1.0,1.0,0.75,0.75,0.75,0,1,1,195.63080684596576
28,Loan_Acc,loan_id,Loan_Order,loan_id,1.0,1.0,0.75,0.75,0.75,0,1,1,2.1858190709046452
29,Loan_Acc,account_id,acc,account_id,1.0,1.0,0.25,0.25,0.25,0,1,1,1.0
