Foreign_table,Foreign_key,A,Primary_table,Primary_key,B
statement,statement_no,http://kglids.org/resource/kaggle/Credit/dataResource/statement.csv/statement_no,charge,charge_no,http://kglids.org/resource/kaggle/Credit/dataResource/charge.csv/charge_no
payment,statement_no,http://kglids.org/resource/kaggle/Credit/dataResource/payment.csv/statement_no,charge,statement_no,http://kglids.org/resource/kaggle/Credit/dataResource/charge.csv/statement_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,statement,statement_no,http://kglids.org/resource/kaggle/Credit/dataResource/statement.csv/statement_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,statement,member_no,http://kglids.org/resource/kaggle/Credit/dataResource/statement.csv/member_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,statement,statement_dt,http://kglids.org/resource/kaggle/Credit/dataResource/statement.csv/statement_dt
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,statement,due_dt,http://kglids.org/resource/kaggle/Credit/dataResource/statement.csv/due_dt
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,statement,statement_amt,http://kglids.org/resource/kaggle/Credit/dataResource/statement.csv/statement_amt
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,statement,statement_code,http://kglids.org/resource/kaggle/Credit/dataResource/statement.csv/statement_code
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,status,status_code,http://kglids.org/resource/kaggle/Credit/dataResource/status.csv/status_code
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,status,status_desc,http://kglids.org/resource/kaggle/Credit/dataResource/status.csv/status_desc
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,region,region_no,http://kglids.org/resource/kaggle/Credit/dataResource/region.csv/region_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,region,region_name,http://kglids.org/resource/kaggle/Credit/dataResource/region.csv/region_name
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,region,street,http://kglids.org/resource/kaggle/Credit/dataResource/region.csv/street
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,region,city,http://kglids.org/resource/kaggle/Credit/dataResource/region.csv/city
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,region,state_prov,http://kglids.org/resource/kaggle/Credit/dataResource/region.csv/state_prov
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,region,country,http://kglids.org/resource/kaggle/Credit/dataResource/region.csv/country
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,region,mail_code,http://kglids.org/resource/kaggle/Credit/dataResource/region.csv/mail_code
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,region,phone_no,http://kglids.org/resource/kaggle/Credit/dataResource/region.csv/phone_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,region,region_code,http://kglids.org/resource/kaggle/Credit/dataResource/region.csv/region_code
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,provider,provider_no,http://kglids.org/resource/kaggle/Credit/dataResource/provider.csv/provider_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,provider,provider_name,http://kglids.org/resource/kaggle/Credit/dataResource/provider.csv/provider_name
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,provider,street,http://kglids.org/resource/kaggle/Credit/dataResource/provider.csv/street
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,provider,city,http://kglids.org/resource/kaggle/Credit/dataResource/provider.csv/city
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,provider,state_prov,http://kglids.org/resource/kaggle/Credit/dataResource/provider.csv/state_prov
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,provider,mail_code,http://kglids.org/resource/kaggle/Credit/dataResource/provider.csv/mail_code
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,provider,country,http://kglids.org/resource/kaggle/Credit/dataResource/provider.csv/country
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,provider,phone_no,http://kglids.org/resource/kaggle/Credit/dataResource/provider.csv/phone_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,provider,issue_dt,http://kglids.org/resource/kaggle/Credit/dataResource/provider.csv/issue_dt
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,provider,expr_dt,http://kglids.org/resource/kaggle/Credit/dataResource/provider.csv/expr_dt
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,provider,region_no,http://kglids.org/resource/kaggle/Credit/dataResource/provider.csv/region_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,provider,provider_code,http://kglids.org/resource/kaggle/Credit/dataResource/provider.csv/provider_code
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,payment,payment_no,http://kglids.org/resource/kaggle/Credit/dataResource/payment.csv/payment_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,payment,member_no,http://kglids.org/resource/kaggle/Credit/dataResource/payment.csv/member_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,payment,payment_dt,http://kglids.org/resource/kaggle/Credit/dataResource/payment.csv/payment_dt
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,payment,payment_amt,http://kglids.org/resource/kaggle/Credit/dataResource/payment.csv/payment_amt
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,payment,statement_no,http://kglids.org/resource/kaggle/Credit/dataResource/payment.csv/statement_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,payment,payment_code,http://kglids.org/resource/kaggle/Credit/dataResource/payment.csv/payment_code
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,member_no,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/member_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,lastname,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/lastname
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,firstname,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/firstname
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,middleinitial,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/middleinitial
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,street,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/street
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,city,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/city
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,state_prov,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/state_prov
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,country,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/country
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,mail_code,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/mail_code
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,phone_no,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/phone_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,photograph,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/photograph
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,issue_dt,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/issue_dt
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,expr_dt,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/expr_dt
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,region_no,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/region_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,corp_no,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/corp_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,prev_balance,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/prev_balance
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,curr_balance,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/curr_balance
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,member,member_code,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/member_code
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,corporation,corp_no,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/corp_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,corporation,corp_name,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/corp_name
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,corporation,street,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/street
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,corporation,city,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/city
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,corporation,state_prov,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/state_prov
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,corporation,mail_code,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/mail_code
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,corporation,phone_no,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/phone_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,corporation,expr_dt,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/expr_dt
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,corporation,region_no,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/region_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,corporation,corp_code,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/corp_code
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,charge,charge_no,http://kglids.org/resource/kaggle/Credit/dataResource/charge.csv/charge_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,charge,member_no,http://kglids.org/resource/kaggle/Credit/dataResource/charge.csv/member_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,charge,provider_no,http://kglids.org/resource/kaggle/Credit/dataResource/charge.csv/provider_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,charge,category_no,http://kglids.org/resource/kaggle/Credit/dataResource/charge.csv/category_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,charge,charge_dt,http://kglids.org/resource/kaggle/Credit/dataResource/charge.csv/charge_dt
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,charge,charge_amt,http://kglids.org/resource/kaggle/Credit/dataResource/charge.csv/charge_amt
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,charge,statement_no,http://kglids.org/resource/kaggle/Credit/dataResource/charge.csv/statement_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,charge,charge_code,http://kglids.org/resource/kaggle/Credit/dataResource/charge.csv/charge_code
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,category,category_no,http://kglids.org/resource/kaggle/Credit/dataResource/category.csv/category_no
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,category,category_desc,http://kglids.org/resource/kaggle/Credit/dataResource/category.csv/category_desc
corporation,country,http://kglids.org/resource/kaggle/Credit/dataResource/corporation.csv/country,category,category_code,http://kglids.org/resource/kaggle/Credit/dataResource/category.csv/category_code
member,prev_balance,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/prev_balance,statement,statement_amt,http://kglids.org/resource/kaggle/Credit/dataResource/statement.csv/statement_amt
member,prev_balance,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/prev_balance,member,curr_balance,http://kglids.org/resource/kaggle/Credit/dataResource/member.csv/curr_balance
region,region_no,http://kglids.org/resource/kaggle/Credit/dataResource/region.csv/region_no,statement,statement_no,http://kglids.org/resource/kaggle/Credit/dataResource/statement.csv/statement_no
region,region_no,http://kglids.org/resource/kaggle/Credit/dataResource/region.csv/region_no,statement,member_no,http://kglids.org/resource/kaggle/Credit/dataResource/statement.csv/member_no
