Foreign_table,Foreign_key,A,Primary_table,Primary_key,B
card,issued,http://kglids.org/resource/kaggle/financial/dataResource/card.csv/issued,trans,date,http://kglids.org/resource/kaggle/financial/dataResource/trans.csv/date
loan,account_id,http://kglids.org/resource/kaggle/financial/dataResource/loan.csv/account_id,trans,account_id,http://kglids.org/resource/kaggle/financial/dataResource/trans.csv/account_id
loan,account_id,http://kglids.org/resource/kaggle/financial/dataResource/loan.csv/account_id,order,account_id,http://kglids.org/resource/kaggle/financial/dataResource/order.csv/account_id
loan,account_id,http://kglids.org/resource/kaggle/financial/dataResource/loan.csv/account_id,disp,account_id,http://kglids.org/resource/kaggle/financial/dataResource/disp.csv/account_id
loan,account_id,http://kglids.org/resource/kaggle/financial/dataResource/loan.csv/account_id,account,account_id,http://kglids.org/resource/kaggle/financial/dataResource/account.csv/account_id
loan,date,http://kglids.org/resource/kaggle/financial/dataResource/loan.csv/date,trans,date,http://kglids.org/resource/kaggle/financial/dataResource/trans.csv/date
district,district_id,http://kglids.org/resource/kaggle/financial/dataResource/district.csv/district_id,trans,amount,http://kglids.org/resource/kaggle/financial/dataResource/trans.csv/amount
district,district_id,http://kglids.org/resource/kaggle/financial/dataResource/district.csv/district_id,client,district_id,http://kglids.org/resource/kaggle/financial/dataResource/client.csv/district_id
district,district_id,http://kglids.org/resource/kaggle/financial/dataResource/district.csv/district_id,account,district_id,http://kglids.org/resource/kaggle/financial/dataResource/account.csv/district_id
district,A5,http://kglids.org/resource/kaggle/financial/dataResource/district.csv/A5,trans,amount,http://kglids.org/resource/kaggle/financial/dataResource/trans.csv/amount
card,disp_id,http://kglids.org/resource/kaggle/financial/dataResource/card.csv/disp_id,disp,disp_id,http://kglids.org/resource/kaggle/financial/dataResource/disp.csv/disp_id
account,account_id,http://kglids.org/resource/kaggle/financial/dataResource/account.csv/account_id,trans,account_id,http://kglids.org/resource/kaggle/financial/dataResource/trans.csv/account_id
