Foreign_table,Foreign_key,A,Primary_table,Primary_key,B
acc,account_id,http://kglids.org/resource/kaggle/financial_std/dataResource/acc.csv/account_id,Loan_Acc,account_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Acc.csv/account_id
loan,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/loan_id,Loan_Trans,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Trans.csv/loan_id
loan,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/loan_id,Loan_Order,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Order.csv/loan_id
loan,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/loan_id,Loan_Acc,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Acc.csv/loan_id
order,amount3,http://kglids.org/resource/kaggle/financial_std/dataResource/order.csv/amount3,loan,amount,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/amount
order,amount3,http://kglids.org/resource/kaggle/financial_std/dataResource/order.csv/amount3,loan,payments,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/payments
trans,balance,http://kglids.org/resource/kaggle/financial_std/dataResource/trans.csv/balance,loan,amount,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/amount
trans,balance,http://kglids.org/resource/kaggle/financial_std/dataResource/trans.csv/balance,loan,payments,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/payments
trans,balance,http://kglids.org/resource/kaggle/financial_std/dataResource/trans.csv/balance,trans,amount2,http://kglids.org/resource/kaggle/financial_std/dataResource/trans.csv/amount2
trans,balance,http://kglids.org/resource/kaggle/financial_std/dataResource/trans.csv/balance,order,amount3,http://kglids.org/resource/kaggle/financial_std/dataResource/order.csv/amount3
trans,amount2,http://kglids.org/resource/kaggle/financial_std/dataResource/trans.csv/amount2,loan,amount,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/amount
trans,amount2,http://kglids.org/resource/kaggle/financial_std/dataResource/trans.csv/amount2,loan,payments,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/payments
trans,amount2,http://kglids.org/resource/kaggle/financial_std/dataResource/trans.csv/amount2,trans,balance,http://kglids.org/resource/kaggle/financial_std/dataResource/trans.csv/balance
trans,amount2,http://kglids.org/resource/kaggle/financial_std/dataResource/trans.csv/amount2,order,amount3,http://kglids.org/resource/kaggle/financial_std/dataResource/order.csv/amount3
loan,amount,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/amount,loan,payments,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/payments
loan,amount,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/amount,order,amount3,http://kglids.org/resource/kaggle/financial_std/dataResource/order.csv/amount3
loan,payments,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/payments,loan,amount,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/amount
loan,payments,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/payments,order,amount3,http://kglids.org/resource/kaggle/financial_std/dataResource/order.csv/amount3
Loan_Trans,transaction_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Trans.csv/transaction_id,trans,transaction_id,http://kglids.org/resource/kaggle/financial_std/dataResource/trans.csv/transaction_id
Loan_Trans,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Trans.csv/loan_id,loan,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/loan_id
Loan_Trans,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Trans.csv/loan_id,Loan_Order,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Order.csv/loan_id
Loan_Trans,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Trans.csv/loan_id,Loan_Acc,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Acc.csv/loan_id
Loan_Order,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Order.csv/loan_id,loan,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/loan_id
Loan_Order,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Order.csv/loan_id,Loan_Trans,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Trans.csv/loan_id
Loan_Order,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Order.csv/loan_id,Loan_Acc,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Acc.csv/loan_id
Loan_Order,order_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Order.csv/order_id,order,order_id,http://kglids.org/resource/kaggle/financial_std/dataResource/order.csv/order_id
Loan_Acc,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Acc.csv/loan_id,loan,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/loan.csv/loan_id
Loan_Acc,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Acc.csv/loan_id,Loan_Trans,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Trans.csv/loan_id
Loan_Acc,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Acc.csv/loan_id,Loan_Order,loan_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Order.csv/loan_id
Loan_Acc,account_id,http://kglids.org/resource/kaggle/financial_std/dataResource/Loan_Acc.csv/account_id,acc,account_id,http://kglids.org/resource/kaggle/financial_std/dataResource/acc.csv/account_id
