PK - Section,PK - Table,PK - ColName,To,FK - Section,FK - Table,FK - ColName
,country,Code,,,borders,Country1
,country,Code,,,borders,Country2
,country,Code,,,city,Country
,province,Name,,,city,Province
,province,Country,,,city,Country
,country,Code,,,economy,Country
,country,Code,,,encompasses,Country
,continent,Name,,,encompasses,Continent
,country,Code,,,ethnicGroup,Country
,country,Code,,,geo_desert,Country
,province,Name,,,geo_desert,Province
,province,Country,,,geo_desert,Country
,desert,Name,,,geo_desert,Desert
,country,Code,,,geo_estuary,Country
,province,Name,,,geo_estuary,Province
,province,Country,,,geo_estuary,Country
,river,Name,,,geo_estuary,River
,country,Code,,,geo_island,Country
,province,Name,,,geo_island,Province
,province,Country,,,geo_island,Country
,island,Name,,,geo_island,Island
,country,Code,,,geo_lake,Country
,province,Name,,,geo_lake,Province
,province,Country,,,geo_lake,Country
,lake,Name,,,geo_lake,Lake
,country,Code,,,geo_mountain,Country
,province,Name,,,geo_mountain,Province
,province,Country,,,geo_mountain,Country
,mountain,Name,,,geo_mountain,Mountain
,country,Code,,,geo_river,Country
,province,Name,,,geo_river,Province
,province,Country,,,geo_river,Country
,river,Name,,,geo_river,River
,country,Code,,,geo_sea,Country
,province,Name,,,geo_sea,Province
,province,Country,,,geo_sea,Country
,sea,Name,,,geo_sea,Sea
,country,Code,,,geo_source,Country
,province,Name,,,geo_source,Province
,province,Country,,,geo_source,Country
,river,Name,,,geo_source,River
,country,Code,,,isMember,Country
,organization,Abbreviation,,,isMember,Organization
,lake,Name,,,islandIn,Lake
,river,Name,,,islandIn,River
,sea,Name,,,islandIn,Sea
,island,Name,,,islandIn,Island
,country,Code,,,language,Country
,country,Code,,,located,Country
,city,Name,,,located,City
,city,Province,,,located,Province
,river,Name,,,located,River
,lake,Name,,,located,Lake
,sea,Name,,,located,Sea
,province,Name,,,located,Province
,province,Country,,,located,Country
,country,Code,,,locatedOn,Country
,island,Name,,,locatedOn,Island
,city,Name,,,locatedOn,City
,city,Province,,,locatedOn,Province
,province,Name,,,locatedOn,Province
,province,Country,,,locatedOn,Country
,sea,Name,,,mergesWith,Sea1
,sea,Name,,,mergesWith,Sea2
,island,Name,,,mountainOnIsland,Island
,mountain,Name,,,mountainOnIsland,Mountain
,country,Code,,,organization,Country
,city,Name,,,organization,City
,city,Province,,,organization,Province
,province,Name,,,organization,Province
,province,Country,,,organization,Country
,country,Code,,,politics,Country
,country,Code,,,politics,Dependent
,country,Code,,,population,Country
,country,Code,,,province,Country
,country,Code,,,religion,Country
,lake,Name,,,river,Lake
,country,Code,,,target,Country
