account_id,event_timestamp
A00000400,2022-07-24 10:11:40.929884
A00001330,2022-07-16 16:37:56.929884
A00003153,2022-07-15 16:31:15.929884
A00000403,2022-07-23 17:31:20.929884
A00001466,2022-07-22 18:35:32.929884
A00003789,2022-07-20 03:47:10.929884
A00011320,2022-07-25 04:19:03.929884
A00005428,2022-07-19 20:53:54.929884
A00001464,2022-07-16 15:53:32.929884
A00000452,2022-07-25 04:39:06.929884
A00002671,2022-07-22 16:44:15.929884
A00001863,2022-07-25 00:13:30.929884
A00009560,2022-07-22 19:04:19.929884
A00000218,2022-07-16 01:24:21.929884
A00000610,2022-07-16 00:19:19.929884
A00003131,2022-07-21 12:25:52.929884
A00007828,2022-07-19 07:06:27.929884
A00008899,2022-07-15 00:39:21.929884
A00003147,2022-07-21 19:26:34.929884
A00000781,2022-07-23 04:32:15.929884
A00001970,2022-07-16 12:39:52.929884
A00001082,2022-07-24 04:13:56.929884
A00003784,2022-07-22 13:33:32.929884
A00001504,2022-07-21 15:29:47.929884
A00007033,2022-07-24 06:04:05.929884
A00005445,2022-07-20 05:58:11.929884
A00008645,2022-07-17 20:04:41.929884
A00000118,2022-07-17 13:16:54.929884
A00000788,2022-07-19 14:16:04.929884
A00001192,2022-07-25 16:52:51.929884
A00001927,2022-07-25 05:29:12.929884
A00000325,2022-07-20 16:15:53.929884
A00002656,2022-07-22 15:59:13.929884
A00000172,2022-07-19 15:23:57.929884
A00002360,2022-07-23 08:46:11.929884
A00000472,2022-07-15 16:13:11.929884
A00001574,2022-07-20 07:05:24.929884
A00002435,2022-07-17 07:18:28.929884
A00003880,2022-07-23 09:30:15.929884
A00004259,2022-07-19 07:01:03.929884
A00002560,2022-07-20 17:09:52.929884
A00000250,2022-07-23 09:14:35.929884
A00000844,2022-07-16 20:30:45.929884
A00003684,2022-07-19 07:06:41.929884
A00003479,2022-07-22 13:20:31.929884
A00001111,2022-07-18 08:40:46.929884
A00002690,2022-07-18 15:28:37.929884
A00001625,2022-07-17 04:19:50.929884
A00001145,2022-07-19 07:09:28.929884
A00000502,2022-07-21 23:16:29.929884
A00000879,2022-07-15 11:31:28.929884
A00003916,2022-07-16 06:53:04.929884
A00002532,2022-07-25 01:49:35.929884
A00002386,2022-07-20 01:57:10.929884
A00001100,2022-07-19 19:03:16.929884
A00010942,2022-07-23 09:16:58.929884
A00001374,2022-07-21 01:25:33.929884
A00004346,2022-07-17 23:15:08.929884
A00009883,2022-07-15 04:10:47.929884
A00000204,2022-07-23 06:09:34.929884
A00005429,2022-07-24 20:54:24.929884
A00001067,2022-07-19 20:42:14.929884
A00001304,2022-07-25 19:30:51.929884
A00003044,2022-07-19 18:15:06.929884
A00001647,2022-07-21 11:23:12.929884
A00010679,2022-07-23 09:43:40.929884
A00001152,2022-07-25 22:16:58.929884
A00007485,2022-07-23 11:40:44.929884
A00005181,2022-07-17 10:42:30.929884
A00005290,2022-07-15 11:52:15.929884
A00003157,2022-07-21 12:58:09.929884
A00001861,2022-07-24 23:17:12.929884
A00002287,2022-07-24 01:52:55.929884
A00000869,2022-07-24 14:49:46.929884
A00002424,2022-07-20 11:58:51.929884
A00002675,2022-07-24 07:47:51.929884
A00003397,2022-07-16 14:15:57.929884
A00002054,2022-07-24 22:36:49.929884
A00001266,2022-07-17 19:16:05.929884
A00001886,2022-07-18 07:10:05.929884
A00000560,2022-07-22 10:48:00.929884
A00002997,2022-07-15 16:47:46.929884
A00001577,2022-07-22 20:55:47.929884
A00002844,2022-07-18 08:23:17.929884
A00000299,2022-07-18 17:02:23.929884
A00000361,2022-07-15 09:41:16.929884
A00001320,2022-07-24 05:19:51.929884
A00002271,2022-07-24 08:00:15.929884
A00003920,2022-07-23 23:33:29.929884
A00002226,2022-07-21 22:53:26.929884
A00002143,2022-07-16 14:57:05.929884
A00002979,2022-07-21 01:58:13.929884
A00009403,2022-07-18 01:44:00.929884
A00000564,2022-07-15 18:29:02.929884
A00000809,2022-07-17 03:05:53.929884
A00001303,2022-07-25 22:35:43.929884
A00008688,2022-07-16 12:44:49.929884
A00003012,2022-07-21 14:18:15.929884
A00004286,2022-07-21 08:42:42.929884
A00000401,2022-07-18 09:37:55.929884
A00004416,2022-07-18 05:10:41.929884
A00000862,2022-07-21 18:20:24.929884
A00002375,2022-07-20 11:10:12.929884
A00000840,2022-07-25 17:28:19.929884
A00001881,2022-07-19 17:35:56.929884
A00009703,2022-07-20 11:42:56.929884
A00001354,2022-07-25 05:14:16.929884
A00004480,2022-07-19 15:50:50.929884
A00001610,2022-07-25 08:26:07.929884
A00009333,2022-07-24 07:38:13.929884
A00002640,2022-07-24 04:09:47.929884
A00001637,2022-07-25 07:19:05.929884
A00010220,2022-07-16 21:12:22.929884
A00002303,2022-07-20 20:54:24.929884
A00000356,2022-07-15 14:44:29.929884
A00000211,2022-07-15 17:23:29.929884
A00003051,2022-07-24 08:30:44.929884
A00001218,2022-07-25 08:33:04.929884
A00002285,2022-07-24 03:30:37.929884
A00001552,2022-07-16 05:48:11.929884
A00000405,2022-07-23 05:36:11.929884
A00001444,2022-07-17 02:29:59.929884
A00001993,2022-07-25 08:14:23.929884
A00002382,2022-07-23 06:57:25.929884
A00001770,2022-07-21 10:54:25.929884
A00005602,2022-07-18 08:31:29.929884
A00003483,2022-07-18 14:29:34.929884
A00003667,2022-07-15 12:54:01.929884
A00003598,2022-07-22 17:35:19.929884
A00001997,2022-07-22 17:14:09.929884
A00003568,2022-07-15 01:59:10.929884
A00008330,2022-07-20 07:12:28.929884
A00000858,2022-07-16 06:31:32.929884
A00000572,2022-07-18 15:48:14.929884
A00002348,2022-07-16 11:16:10.929884
A00002741,2022-07-25 22:34:27.929884
A00000787,2022-07-17 18:48:07.929884
A00001037,2022-07-24 04:25:33.929884
A00002526,2022-07-20 11:32:30.929884
A00000105,2022-07-25 18:34:20.929884
A00002185,2022-07-23 00:30:12.929884
A00000199,2022-07-19 17:00:03.929884
A00001197,2022-07-20 01:41:55.929884
A00005742,2022-07-21 21:25:10.929884
A00002791,2022-07-25 07:13:58.929884
A00000506,2022-07-15 15:39:11.929884
A00003339,2022-07-22 06:44:45.929884
A00003093,2022-07-22 21:32:08.929884
A00000442,2022-07-24 16:14:08.929884
A00002472,2022-07-22 11:50:30.929884
A00008896,2022-07-24 03:21:45.929884
A00003088,2022-07-17 04:47:10.929884
A00003061,2022-07-19 01:03:07.929884
A00002327,2022-07-18 14:57:33.929884
A00002493,2022-07-20 23:23:48.929884
A00001086,2022-07-18 09:20:21.929884
A00000708,2022-07-19 18:59:31.929884
A00005740,2022-07-22 01:36:14.929884
A00000044,2022-07-18 19:06:20.929884
A00000501,2022-07-18 08:37:47.929884
A00002411,2022-07-16 08:09:34.929884
A00001351,2022-07-19 15:30:43.929884
A00003190,2022-07-25 10:37:30.929884
A00003614,2022-07-23 19:56:01.929884
A00001294,2022-07-17 22:27:07.929884
A00002356,2022-07-16 16:21:50.929884
A00006511,2022-07-23 12:35:08.929884
A00003425,2022-07-15 15:45:15.929884
A00000647,2022-07-21 01:38:45.929884
A00004434,2022-07-21 12:58:51.929884
A00002138,2022-07-25 20:21:21.929884
A00000688,2022-07-22 09:59:14.929884
A00001394,2022-07-24 02:10:11.929884
A00000174,2022-07-15 22:10:05.929884
A00004131,2022-07-16 18:16:28.929884
A00003680,2022-07-24 00:38:53.929884
A00002658,2022-07-25 04:13:14.929884
A00000432,2022-07-23 03:02:20.929884
A00003764,2022-07-24 19:25:30.929884
A00001527,2022-07-20 06:15:01.929884
A00007606,2022-07-24 05:15:59.929884
A00000253,2022-07-23 07:10:55.929884
A00003663,2022-07-25 00:30:55.929884
A00000956,2022-07-16 15:16:04.929884
A00005541,2022-07-15 14:25:56.929884
A00003501,2022-07-20 22:57:28.929884
A00008972,2022-07-22 01:59:25.929884
A00003851,2022-07-19 11:46:55.929884
A00009730,2022-07-20 17:09:56.929884
A00001978,2022-07-16 04:56:15.929884
A00002039,2022-07-23 20:24:27.929884
A00002784,2022-07-23 04:03:53.929884
A00003357,2022-07-16 04:13:24.929884
A00002459,2022-07-18 19:17:15.929884
A00001638,2022-07-17 17:24:41.929884
A00003394,2022-07-18 09:36:29.929884
A00003765,2022-07-19 17:49:35.929884
A00001166,2022-07-16 14:05:51.929884
A00003294,2022-07-18 18:13:08.929884
A00003181,2022-07-19 04:37:58.929884
A00001026,2022-07-16 23:40:53.929884
A00001189,2022-07-15 17:42:45.929884
A00001081,2022-07-23 12:14:09.929884
A00001183,2022-07-19 11:50:39.929884
A00010440,2022-07-17 15:39:58.929884
A00002789,2022-07-16 13:53:32.929884
A00000258,2022-07-15 10:59:15.929884
A00005927,2022-07-18 10:09:09.929884
A00000135,2022-07-19 04:24:27.929884
A00001238,2022-07-25 10:56:13.929884
A00005632,2022-07-19 02:39:52.929884
A00003757,2022-07-21 08:44:16.929884
A00000488,2022-07-22 16:21:25.929884
A00002739,2022-07-22 14:47:04.929884
A00007844,2022-07-15 11:21:46.929884
A00001042,2022-07-17 10:58:21.929884
A00002335,2022-07-23 23:23:08.929884
A00003320,2022-07-16 20:01:03.929884
A00001723,2022-07-24 07:40:30.929884
A00003877,2022-07-15 10:18:25.929884
A00003720,2022-07-25 18:41:42.929884
A00001087,2022-07-24 15:38:57.929884
A00000033,2022-07-21 00:15:33.929884
A00001267,2022-07-25 19:05:49.929884
A00001751,2022-07-19 21:21:01.929884
A00000030,2022-07-17 14:11:21.929884
