account_id,district_id,frequency,parseddate,year,month,day,date,event_timestamp
A00000576,55,Monthly Issuance,2013-01-01,2013,1,1,2013-01-01,2022-07-19 17:43:06.988334
A00003818,74,Monthly Issuance,2013-01-01,2013,1,1,2013-01-01,2022-07-17 04:59:27.988334
A00000704,55,Monthly Issuance,2013-01-01,2013,1,1,2013-01-01,2022-07-25 20:31:54.988334
A00002378,16,Monthly Issuance,2013-01-01,2013,1,1,2013-01-01,2022-07-25 17:14:54.988334
A00002632,24,Monthly Issuance,2013-01-02,2013,1,2,2013-01-02,2022-07-24 11:16:50.988334
A00001972,77,Monthly Issuance,2013-01-02,2013,1,2,2013-01-02,2022-07-23 14:37:52.988334
A00001539,1,Issuance After Transaction,2013-01-03,2013,1,3,2013-01-03,2022-07-18 17:09:19.988334
A00000793,47,Monthly Issuance,2013-01-03,2013,1,3,2013-01-03,2022-07-16 11:11:53.988334
A00002484,74,Monthly Issuance,2013-01-03,2013,1,3,2013-01-03,2022-07-25 16:29:02.988334
A00001695,76,Monthly Issuance,2013-01-03,2013,1,3,2013-01-03,2022-07-24 08:39:45.988334
A00001726,48,Monthly Issuance,2013-01-03,2013,1,3,2013-01-03,2022-07-22 14:28:52.988334
A00002881,70,Monthly Issuance,2013-01-04,2013,1,4,2013-01-04,2022-07-17 11:56:21.988334
A00002357,19,Monthly Issuance,2013-01-04,2013,1,4,2013-01-04,2022-07-19 10:14:23.988334
A00002177,62,Monthly Issuance,2013-01-04,2013,1,4,2013-01-04,2022-07-25 05:35:20.988334
A00000485,6,Issuance After Transaction,2013-01-04,2013,1,4,2013-01-04,2022-07-21 19:46:30.988334
A00000652,21,Monthly Issuance,2013-01-05,2013,1,5,2013-01-05,2022-07-25 01:56:12.988334
A00009635,70,Monthly Issuance,2013-01-05,2013,1,5,2013-01-05,2022-07-22 17:05:18.988334
A00001844,44,Monthly Issuance,2013-01-06,2013,1,6,2013-01-06,2022-07-15 22:21:34.988334
A00001926,37,Monthly Issuance,2013-01-06,2013,1,6,2013-01-06,2022-07-24 12:03:15.988334
A00002393,10,Monthly Issuance,2013-01-07,2013,1,7,2013-01-07,2022-07-17 21:12:00.988334
A00003510,41,Monthly Issuance,2013-01-07,2013,1,7,2013-01-07,2022-07-25 00:32:06.988334
A00001276,36,Monthly Issuance,2013-01-07,2013,1,7,2013-01-07,2022-07-16 18:48:30.988334
